Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,clab-clos-large-leaf35,Ethernet5,192.168.108.209/31,spine,clab-clos-large-spine3,Ethernet36,192.168.108.208/31
l3leaf,clab-clos-large-leaf36,Ethernet3,192.168.108.211/31,spine,clab-clos-large-spine1,Ethernet37,192.168.108.210/31
l3leaf,clab-clos-large-leaf36,Ethernet4,192.168.108.213/31,spine,clab-clos-large-spine2,Ethernet37,192.168.108.212/31
l3leaf,clab-clos-large-leaf36,Ethernet5,192.168.108.215/31,spine,clab-clos-large-spine3,Ethernet37,192.168.108.214/31
l3leaf,clab-clos-large-leaf37,Ethernet3,192.168.108.217/31,spine,clab-clos-large-spine1,Ethernet38,192.168.108.216/31
l3leaf,clab-clos-large-leaf37,Ethernet4,192.168.108.219/31,spine,clab-clos-large-spine2,Ethernet38,192.168.108.218/31
l3leaf,clab-clos-large-leaf37,Ethernet5,192.168.108.221/31,spine,clab-clos-large-spine3,Ethernet38,192.168.108.220/31
l3leaf,clab-clos-large-leaf38,Ethernet3,192.168.108.223/31,spine,clab-clos-large-spine1,Ethernet39,192.168.108.222/31
l3leaf,clab-clos-large-leaf38,Ethernet4,192.168.108.225/31,spine,clab-clos-large-spine2,Ethernet39,192.168.108.224/31
l3leaf,clab-clos-large-leaf38,Ethernet5,192.168.108.227/31,spine,clab-clos-large-spine3,Ethernet39,192.168.108.226/31
l3leaf,clab-clos-large-leaf39,Ethernet3,192.168.108.229/31,spine,clab-clos-large-spine1,Ethernet40,192.168.108.228/31
l3leaf,clab-clos-large-leaf39,Ethernet4,192.168.108.231/31,spine,clab-clos-large-spine2,Ethernet40,192.168.108.230/31
l3leaf,clab-clos-large-leaf39,Ethernet5,192.168.108.233/31,spine,clab-clos-large-spine3,Ethernet40,192.168.108.232/31
l3leaf,clab-clos-large-leaf40,Ethernet3,192.168.108.235/31,spine,clab-clos-large-spine1,Ethernet41,192.168.108.234/31
l3leaf,clab-clos-large-leaf40,Ethernet4,192.168.108.237/31,spine,clab-clos-large-spine2,Ethernet41,192.168.108.236/31
l3leaf,clab-clos-large-leaf40,Ethernet5,192.168.108.239/31,spine,clab-clos-large-spine3,Ethernet41,192.168.108.238/31
l3leaf,clab-clos-large-leaf41,Ethernet3,192.168.108.241/31,spine,clab-clos-large-spine1,Ethernet42,192.168.108.240/31
l3leaf,clab-clos-large-leaf41,Ethernet4,192.168.108.243/31,spine,clab-clos-large-spine2,Ethernet42,192.168.108.242/31
l3leaf,clab-clos-large-leaf41,Ethernet5,192.168.108.245/31,spine,clab-clos-large-spine3,Ethernet42,192.168.108.244/31
l3leaf,clab-clos-large-leaf42,Ethernet3,192.168.108.247/31,spine,clab-clos-large-spine1,Ethernet43,192.168.108.246/31
l3leaf,clab-clos-large-leaf42,Ethernet4,192.168.108.249/31,spine,clab-clos-large-spine2,Ethernet43,192.168.108.248/31
l3leaf,clab-clos-large-leaf42,Ethernet5,192.168.108.251/31,spine,clab-clos-large-spine3,Ethernet43,192.168.108.250/31
l3leaf,clab-clos-large-leaf43,Ethernet3,192.168.108.253/31,spine,clab-clos-large-spine1,Ethernet44,192.168.108.252/31
l3leaf,clab-clos-large-leaf43,Ethernet4,192.168.108.255/31,spine,clab-clos-large-spine2,Ethernet44,192.168.108.254/31
l3leaf,clab-clos-large-leaf43,Ethernet5,192.168.109.1/31,spine,clab-clos-large-spine3,Ethernet44,192.168.109.0/31
l3leaf,clab-clos-large-leaf44,Ethernet3,192.168.109.3/31,spine,clab-clos-large-spine1,Ethernet45,192.168.109.2/31
l3leaf,clab-clos-large-leaf44,Ethernet4,192.168.109.5/31,spine,clab-clos-large-spine2,Ethernet45,192.168.109.4/31
l3leaf,clab-clos-large-leaf44,Ethernet5,192.168.109.7/31,spine,clab-clos-large-spine3,Ethernet45,192.168.109.6/31
l3leaf,clab-clos-large-leaf45,Ethernet3,192.168.109.9/31,spine,clab-clos-large-spine1,Ethernet46,192.168.109.8/31
l3leaf,clab-clos-large-leaf45,Ethernet4,192.168.109.11/31,spine,clab-clos-large-spine2,Ethernet46,192.168.109.10/31
l3leaf,clab-clos-large-leaf45,Ethernet5,192.168.109.13/31,spine,clab-clos-large-spine3,Ethernet46,192.168.109.12/31
l3leaf,clab-clos-large-leaf46,Ethernet3,192.168.109.15/31,spine,clab-clos-large-spine1,Ethernet47,192.168.109.14/31
l3leaf,clab-clos-large-leaf46,Ethernet4,192.168.109.17/31,spine,clab-clos-large-spine2,Ethernet47,192.168.109.16/31
l3leaf,clab-clos-large-leaf46,Ethernet5,192.168.109.19/31,spine,clab-clos-large-spine3,Ethernet47,192.168.109.18/31
l3leaf,clab-clos-large-leaf47,Ethernet3,192.168.109.21/31,spine,clab-clos-large-spine1,Ethernet48,192.168.109.20/31
l3leaf,clab-clos-large-leaf47,Ethernet4,192.168.109.23/31,spine,clab-clos-large-spine2,Ethernet48,192.168.109.22/31
l3leaf,clab-clos-large-leaf47,Ethernet5,192.168.109.25/31,spine,clab-clos-large-spine3,Ethernet48,192.168.109.24/31
l3leaf,clab-clos-large-leaf48,Ethernet3,192.168.109.27/31,spine,clab-clos-large-spine1,Ethernet49,192.168.109.26/31
l3leaf,clab-clos-large-leaf48,Ethernet4,192.168.109.29/31,spine,clab-clos-large-spine2,Ethernet49,192.168.109.28/31
l3leaf,clab-clos-large-leaf48,Ethernet5,192.168.109.31/31,spine,clab-clos-large-spine3,Ethernet49,192.168.109.30/31
l3leaf,clab-clos-large-leaf49,Ethernet3,192.168.109.33/31,spine,clab-clos-large-spine1,Ethernet50,192.168.109.32/31
l3leaf,clab-clos-large-leaf49,Ethernet4,192.168.109.35/31,spine,clab-clos-large-spine2,Ethernet50,192.168.109.34/31
l3leaf,clab-clos-large-leaf49,Ethernet5,192.168.109.37/31,spine,clab-clos-large-spine3,Ethernet50,192.168.109.36/31
l3leaf,clab-clos-large-leaf50,Ethernet3,192.168.109.39/31,spine,clab-clos-large-spine1,Ethernet51,192.168.109.38/31
l3leaf,clab-clos-large-leaf50,Ethernet4,192.168.109.41/31,spine,clab-clos-large-spine2,Ethernet51,192.168.109.40/31
l3leaf,clab-clos-large-leaf50,Ethernet5,192.168.109.43/31,spine,clab-clos-large-spine3,Ethernet51,192.168.109.42/31
